Country and Area,Year,Forest Area,Total Land Area,Improvement
Afghanistan,1990,1208.44,65286,0
Albania,1990,788.8,2740,0
Algeria,1990,1667,238174,0
American Samoa,1990,18.07,20,0
Andorra,1990,16,47,0
Angola,1990,79262.78,124670,0
Anguilla,1990,5.5,9,0
Antigua and Barbuda,1990,10.11,44,0
Argentina,1990,35204,273669,0
Armenia,1990,334.73,2847,0
Aruba,1990,0.42,18,0
Australia,1990,133882.2,768230,0
Austria,1990,3775.67,8252,0
Azerbaijan,1990,944.74,8266,0
Bahamas,1990,509.86,1001,0
Bahrain,1990,0.22,77,0
Bangladesh,1990,1920.33,13017,0
Barbados,1990,6.3,43,0
Belarus,1990,7780,20297.8,0
Belgium,1990,677.4,3028,0
Belize,1990,1600.03,2281,0
Benin,1990,4835.15,11276,0
Bermuda,1990,1,5,0
Bhutan,1990,2506.72,3812,0
Bolivia (Plurinational State of),1990,57804.72,108330,0
"Bonaire, Sint Eustatius and Saba",1990,1.91,32.2,0
Bosnia and Herzegovina,1990,2210,5120,0
Botswana,1990,18803.7,56673,0
Brazil,1990,588898,835814,0
British Virgin Islands,1990,3.71,15,0
Brunei Darussalam,1990,413,527,0
Bulgaria,1990,3327,10856,0
Burkina Faso,1990,7716.6,27360,0
Burundi,1990,276.48,2568,0
Cabo Verde,1990,15.38,403,0
Cambodia,1990,11004.79,17652,0
Cameroon,1990,22500,47271,0
Canada,1990,348272.93,909351,0
Cayman Islands,1990,13.13,24,0
Central African Republic,1990,23203,62298,0
Chad,1990,6730,125920,0
Chile,1990,15246.05,74353,0
China,1990,157140.59,942470,0
Colombia,1990,64958.14,110950,0
Comoros,1990,46.06,186,0
Congo,1990,22315,34150,0
Cook Islands,1990,14.91,24,0
Costa Rica,1990,2907.4,5106,0
Côte d’Ivoire,1990,7850.86,31800,0
Croatia,1990,1850,5596,0
Cuba,1990,2058,10402,0
Curaçao,1990,0.07,44.4,0
Cyprus,1990,161.11,924,0
Czechia,1990,2629.42,7721,0
Democratic People's Republic of Korea,1990,6912.03,12041,0
Democratic Republic of the Congo,1990,150629,226705,0
Denmark,1990,531.44,4199,0
Djibouti,1990,5.6,2318,0
Dominica,1990,50.31,75,0
Dominican Republic,1990,1594.89,4831,0
Ecuador,1990,14632.21,24836,0
Egypt,1990,43.81,99545,0
El Salvador,1990,718.88,2072,0
Equatorial Guinea,1990,2699.15,2805,0
Eritrea,1990,1150.06,10100,0
Estonia,1990,2205.9,4347,0
Eswatini,1990,461.14,1720,0
Ethiopia,1990,19258.5,111971.55,0
Faeroe Islands,1990,0.08,140,0
Falkland Islands (Malvinas),1990,0,1217,0
Fiji,1990,939.69,1827,0
Finland,1990,21875.33,30391,0
France,1990,14436,54756,0
French Guiana,1990,8125,8220,0
French Polynesia,1990,144.43,366,0
Gabon,1990,23761.62,25767,0
Gambia,1990,414.66,1012,0
Georgia,1990,2752.3,6949,0
Germany,1990,11300,34886,0
Ghana,1990,9924.26,22754,0
Gibraltar,1990,0,1,0
Greece,1990,3298.55,12890,0
Greenland,1990,0.22,41045,0
Grenada,1990,17.7,34,0
Guadeloupe,1990,73.17,169,0
Guam,1990,24,54,0
Guatemala,1990,4781.2,10716,0
Guernsey,1990,0.23,8,0
Guinea,1990,7276,24572,0
Guinea-Bissau,1990,2233.33,2812,0
Guyana,1990,18602.15,19685,0
Haiti,1990,382.92,2756,0
Holy See,1990,0,0,0
Honduras,1990,6987.78,11189,0
Hungary,1990,1813.9,9053,0
Iceland,1990,17.07,10025,0
India,1990,63938,297319,0
Indonesia,1990,118545,187752,0
Iran (Islamic Republic of),1990,9076.06,162876,0
Iraq,1990,804,43412.8,0
Ireland,1990,461.64,6889,0
Isle of Man,1990,3.46,57,0
Israel,1990,132,2164,0
Italy,1990,7589.75,29414,0
Jamaica,1990,521.28,1083,0
Japan,1990,24950,36456,0
Jersey,1990,0.6,12,0
Jordan,1990,97.5,8878,0
Kazakhstan,1990,3162.24,269970,0
